"Date","Open","High","Low","Close"
"30 Dec 2022","18259.10","18265.25","18080.30","18105.30"
"29 Dec 2022","18045.70","18229.70","17992.80","18191.00"
"28 Dec 2022","18084.75","18173.10","18068.35","18122.50"
"27 Dec 2022","18089.80","18149.25","17967.45","18132.30"
"26 Dec 2022","17830.40","18084.10","17774.25","18014.60"
"23 Dec 2022","17977.65","18050.45","17779.50","17806.80"
"22 Dec 2022","18288.80","18318.75","18068.60","18127.35"
"21 Dec 2022","18435.15","18473.35","18162.75","18199.10"
"20 Dec 2022","18340.30","18404.90","18202.65","18385.30"
"19 Dec 2022","18288.10","18431.65","18244.55","18420.45"
"16 Dec 2022","18319.10","18440.95","18255.15","18269.00"
"15 Dec 2022","18614.40","18652.90","18387.70","18414.90"
"14 Dec 2022","18671.25","18696.10","18632.90","18660.30"
"13 Dec 2022","18524.40","18617.25","18490.20","18608.00"
"12 Dec 2022","18402.15","18521.55","18345.70","18497.15"
"09 Dec 2022","18662.40","18664.70","18410.10","18496.60"
"08 Dec 2022","18570.85","18625.00","18536.95","18609.35"
"07 Dec 2022","18638.85","18668.30","18528.40","18560.50"
"06 Dec 2022","18600.65","18654.90","18577.90","18642.75"
"05 Dec 2022","18719.55","18728.60","18591.35","18701.05"
"02 Dec 2022","18752.40","18781.95","18639.20","18696.10"
"01 Dec 2022","18871.95","18887.60","18778.20","18812.50"